player,umap_x,umap_y
Aaron Baddeley,7.2852693,3.424284
Aaron Rai,4.0283422,7.2757916
Aaron Wise,3.563775,8.360642
Abraham Ancer,3.6858304,7.4903493
Adam Hadwin,4.808213,4.681704
Adam Long,6.7055883,7.6044755
Adam Schenk,6.984078,7.529088
Adam Scott,2.837911,6.972694
Adam Svensson,3.747603,9.662474
Akshay Bhatia,5.4903407,10.257049
Alex Cejka,5.290665,5.539951
Alex Prugh,7.2504854,9.254674
Alex Smalley,4.6004076,8.953985
Alexander Noren,4.6321397,4.0307794
Anders Albertson,5.9929085,9.740621
Andres Gonzales,9.116359,4.971853
Andres Romero,7.97958,6.499007
Andrew Landry,7.944988,9.01021
Andrew Loupe,8.813844,9.245663
Andrew Putnam,7.70252,3.687033
Andy Sullivan,8.345393,5.576851
Anirban Lahiri,5.6397986,6.925712
Arjun Atwal,7.2223954,4.567796
Austin Cook,7.630994,6.4585233
Beau Hossler,8.185858,5.7606325
Ben Crane,6.610775,4.7986264
Ben Martin,6.162293,8.2738495
Ben Taylor,8.718314,4.6284723
Benjamin Silverman,8.080091,7.184339
Bernd Wiesberger,4.0865793,10.150215
Bill Haas,5.154178,5.0575576
Billy Horschel,6.2323217,6.616156
Blayne Barber,7.0994406,7.544747
Bo Hoag,6.0323324,6.9463034
Bo Van Pelt,9.601909,8.219493
Boo Weekley,4.8596177,9.913281
Brady Schnell,9.387386,4.933307
Branden Grace,4.576643,6.454154
Brandon Hagy,8.741585,7.4822364
Brandon Harkins,5.854017,8.858089
Brandon Stone,8.9155,8.960915
Brandon Wu,7.468831,8.2805395
Brandt Snedeker,4.5045414,3.810103
Brendan Steele,3.5514438,9.015437
Brendon De Jonge,9.078397,4.647115
Brendon Todd,7.7486477,4.743624
Brett Stegmaier,7.6252995,8.854404
Brian Davis,9.517143,7.567115
Brian Gay,7.9548655,4.838555
Brian Harman,5.059127,4.603163
Brian Stuard,5.882111,5.299611
Brice Garnett,7.723673,7.1667733
Bronson Burgoon,6.4980474,8.407086
Brooks Koepka,2.8496869,6.125738
Bryson DeChambeau,2.8991039,6.246099
Bubba Watson,3.4551654,8.5004635
Bud Cauley,4.629669,5.8289566
Byeong Hun An,3.9657857,10.21812
C.T. Pan,4.4004855,6.2906237
Cameron Champ,7.9930143,9.7598
Cameron Davis,4.6160536,7.6459894
Cameron Percy,5.0033054,8.093933
Cameron Smith,4.9454045,4.019499
Cameron Tringale,6.2215047,3.6462822
Cameron Young,3.3699474,6.266006
Camilo Villegas,7.0726852,3.6793308
Carl Pettersson,9.99036,5.458574
Carlos Ortiz,6.4683065,7.176876
Chad Campbell,4.33451,9.917839
Chad Collins,7.1837378,3.3827705
Chan Kim,4.467319,10.519519
Charl Schwartzel,5.2491913,5.2529426
Charles Howell III,3.26724,5.2771597
Charley Hoffman,4.009706,7.581757
Charlie Beljan,7.968929,10.356256
Chase Seiffert,5.572374,7.893173
Chase Wright,7.538469,7.5912905
Chesson Hadley,6.5512195,7.9912877
Chez Reavie,4.3331003,8.180384
Chris Baker,4.746883,10.171208
Chris Kirk,4.5558987,6.054154
Chris Stroud,6.9129953,5.742544
Chris Thompson,9.299752,8.075674
Christiaan Bezuidenhout,4.158204,3.9815376
Cody Gribble,9.347683,5.550712
Collin Morikawa,2.6434777,7.6694274
Colt Knost,8.207584,6.3513665
Corey Conners,3.0932567,8.721475
Curtis Luck,9.393564,5.7952104
Curtis Thompson,8.447009,7.5768766
D.A. Points,8.70387,3.9855
D.J. Trahan,5.788697,10.316244
Daniel Berger,3.0044315,6.961939
Daniel Chopra,10.191491,5.579493
Daniel Summerhays,8.41219,5.777132
Danny Lee,6.2731924,8.293434
Danny Willett,6.2834554,5.9210186
David Hearn,6.0030694,5.7155633
David Lingmerth,6.248286,6.32006
David Lipsky,5.561273,4.995532
Davis Love III,6.848171,9.91284
Davis Riley,6.6821404,7.034038
Davis Thompson,4.231073,9.5080805
Denny McCarthy,7.7603498,5.381464
Derek Ernst,8.947275,8.677769
Derek Fathauer,9.432958,5.0872226
Doc Redman,5.3743196,8.56003
Dominic Bozzelli,9.113781,5.5345697
Doug Ghim,4.054786,9.629017
Dustin Johnson,2.5446937,6.158101
Dylan Frittelli,4.9142184,6.477397
Dylan Meyer,7.8730216,8.869941
Dylan Wu,8.040421,5.98169
Emiliano Grillo,3.354236,8.739617
Eric Axley,10.111766,5.3029
Erik Compton,9.442988,4.8016057
Erik van Rooyen,3.5882127,7.0831985
Ernie Els,6.735878,4.6054597
Fabian Gomez,6.1875725,5.229593
Francesco Molinari,3.3853562,9.16167
Freddie Jacobson,8.288439,4.7713714
Garrick Higgo,7.7110543,8.710876
Gary Woodland,3.3456757,7.3597364
Geoff Ogilvy,6.572697,5.649236
George McNeill,6.1233864,9.608153
Graeme McDowell,7.117586,5.307556
Graham DeLaet,7.200419,8.569491
Grayson Murray,6.587866,10.290678
Greg Chalmers,9.043262,5.753518
Greyson Sigg,5.7719193,9.304745
Hank Lebioda,4.9443774,5.9484706
Hao-Tong Li,7.923996,8.571482
Harold Varner III,3.6292586,7.897564
Harris English,5.0247364,3.872775
Harry Higgs,7.596688,6.1503696
Hayden Buckley,8.159794,9.790103
Henrik Norlander,4.916018,9.134324
Henrik Stenson,4.3526263,8.05829
Hideki Matsuyama,2.4321342,7.2218347
Hudson Swafford,7.360091,8.426562
Hunter Mahan,8.624638,6.892433
Ian Poulter,3.966935,4.116944
J.B. Holmes,3.7272182,8.2016115
J.J. Henry,5.8672676,9.864586
J.J. Spaun,6.3918324,8.732807
J.T. Poston,7.316171,6.266512
James Hahn,4.7378535,7.1747866
Jamie Lovemark,5.202826,5.2305684
Jason Bohn,8.435279,4.2593446
Jason Day,3.2819047,4.7743707
Jason Dufner,3.825539,9.3056965
Jason Kokrak,3.5158095,8.356124
Jazz Janewattananond,8.509927,9.711579
Jerry Kelly,5.0640936,5.563391
Jhonattan Vegas,3.702005,8.610006
Jim Furyk,4.1790104,4.811693
Jim Herman,7.6837463,9.544046
Jim Knous,7.92852,8.77935
Jimmy Walker,6.7555294,3.5725534
Joaquin Niemann,2.889923,7.383788
Joel Dahmen,3.8832161,9.034695
Joey Garber,9.239591,8.342971
John Augenstein,8.271535,10.223657
John Chin,9.540029,9.017984
John Daly,9.970457,8.440374
John Huh,5.827415,6.1106563
John Merrick,4.8656135,10.602335
John Pak,9.251253,8.838156
John Rollins,7.268229,10.213809
John Senden,7.850752,7.9217525
Johnson Wagner,7.49804,5.737053
Jon Rahm,2.4444063,6.0403185
Jonas Blixt,8.419284,5.4144516
Jonathan Byrd,6.832793,3.4883602
Jonathan Randolph,8.834541,7.894574
Joost Luiten,4.5876613,8.317336
Jordan Spieth,3.277989,4.55302
Jose de Jesus Rodriguez,7.8373504,5.5595737
Joseph Bramlett,5.1720133,10.370893
Josh Teater,5.0580773,9.286404
Julian Etulain,6.1201715,6.288083
Justin Harding,7.3268147,6.764222
Justin Rose,3.0030408,5.6651864
Justin Suh,8.151274,8.32413
Justin Thomas,2.424281,6.353339
K.J. Choi,7.6030684,3.905101
Keegan Bradley,3.0351593,9.279243
Keith Mitchell,7.272466,9.298814
Kelly Kraft,7.8419695,8.135113
Ken Duke,6.472931,9.856434
Kevin Chappell,4.439026,7.7519317
Kevin Kisner,6.7456336,6.4732223
Kevin Na,5.2845907,3.5589733
Kevin Stadler,7.740123,10.49639
Kevin Streelman,3.5155344,8.936853
Kevin Tway,6.1115766,5.4861274
Kiradech Aphibarnrat,8.609696,7.322883
Kramer Hickok,5.390515,7.32236
Kristoffer Ventura,8.155037,8.005497
Kurt Kitayama,5.6730814,9.372775
Kyle Jones,9.03455,8.126888
Kyle Reifers,5.814678,7.0017467
Kyle Stanley,3.6983516,9.432856
Kyoung-Hoon Lee,5.522012,6.9965997
Lanto Griffin,5.379722,7.364351
Lee Hodges,5.090844,6.980064
Lee Westwood,5.973468,8.542508
Louis Oosthuizen,3.1340737,5.2213807
Lucas Bjerregaard,9.342394,8.879253
Lucas Glover,3.2113976,9.277733
Lucas Herbert,8.192873,5.3930616
Luke Donald,7.4804215,3.1744914
Luke List,3.1150837,9.425903
Mackenzie Hughes,6.0877786,4.2246714
Marc Leishman,4.013584,4.9326167
Mark Anderson,6.148749,5.7344103
Mark Hubbard,6.3990498,5.0293503
Mark Wilson,6.9774237,3.9893086
Martin Flores,5.8702526,7.923603
Martin Kaymer,5.3643494,6.8850183
Martin Laird,4.3339915,6.522106
Martin Piller,9.312718,6.155308
Martin Trainer,9.634977,6.291228
Matt Every,10.191751,5.983058
Matt Jones,4.9379263,5.3192544
Matt Kuchar,3.6999235,4.12054
Matt Wallace,5.951272,5.052665
Matthew Fitzpatrick,3.5394366,4.809847
Matthew NeSmith,4.6053753,8.288656
Matthew Wolff,7.2821774,7.8816786
Matthias Schwab,5.5014215,4.840231
Maverick McNealy,6.978102,6.373714
Max Homa,6.7544065,8.084428
Michael Gellerman,7.1039834,9.781062
Michael Gligic,8.348874,8.712587
Michael Kim,8.631988,3.859713
Michael Thompson,6.070939,4.296872
Mike Weir,9.414133,4.2908497
Mito Pereira,2.7994301,6.745637
Morgan Hoffmann,7.7554045,5.169821
Nate Lashley,5.948203,4.856705
Nelson Ledesma,9.8843775,5.3200107
Nicholas Lindheim,9.463784,5.5558443
Nick Hardy,7.284562,9.2824745
Nick Taylor,6.0010967,7.053566
Nick Watney,5.240085,7.9528084
Ollie Schniederjans,5.765025,3.9885824
Omar Uresti,10.051409,7.4724903
Padraig Harrington,7.0065346,4.129539
Parker McLachlin,9.916705,6.159493
Pat Perez,4.2149754,4.216682
Patrick Cantlay,2.382455,5.879204
Patrick Reed,3.5252185,4.3909283
Patrick Rodgers,7.546872,6.001777
Patton Kizzire,7.561534,4.8267627
Paul Barjon,7.998873,9.675568
Paul Casey,2.626077,7.3996043
Peter Malnati,7.5989165,4.4514275
Peter Uihlein,6.267142,4.51277
Phil Mickelson,4.4085193,4.2253733
Rafa Cabrera Bello,7.118546,6.383088
Rafael Campos,8.674883,7.2557645
Retief Goosen,6.581248,5.3745213
Rhein Gibson,9.331291,5.1545343
Rich Beem,9.83824,7.0659914
Richard Sterne,6.7111096,9.886861
Richy Werenski,7.5926256,6.740477
Rickie Fowler,3.0934708,4.949089
Ricky Barnes,7.758529,3.3769445
Rob Oppenheim,7.1728997,3.6255116
Robby Shelton,6.5936713,6.076467
Robert Allenby,7.779088,10.229411
Robert Garrigus,5.190151,9.910856
Robert MacIntyre,5.1704555,5.12307
Robert Streb,6.1296463,5.417557
Roberto Castro,4.313965,9.9335985
Roberto Diaz,8.602006,6.760861
Rod Pampling,6.714019,5.881773
Rod Perry,10.26291,8.110023
Roger Sloan,6.385829,7.231324
Rory McIlroy,2.2702208,6.2300844
Rory Sabbatini,5.2098827,6.6655474
Russell Henley,3.494747,6.768027
Russell Knox,3.6299357,9.332574
Ryan Armour,4.4812193,6.589541
Ryan Blaum,7.2113976,6.62374
Ryan Brehm,8.560538,9.86579
Ryan Moore,3.82144,7.3932085
Ryan Palmer,3.409839,8.8350315
Ryan Vermeer,10.144131,7.799719
Ryo Ishikawa,8.615206,4.3912306
Sahith Theegala,5.392192,5.902027
Sam Burns,7.053107,7.297357
Sam Horsfield,8.325543,7.246801
Sam Ryder,6.0966854,8.088184
Sam Saunders,6.974446,8.345835
Sang-Moon Bae,9.257017,7.8879385
Satoshi Kodaira,8.822027,9.701938
Scott Brown,7.1815763,8.120902
Scott Gutschewski,4.1999407,10.474885
Scott Harrington,8.890892,7.40669
Scott Langley,7.252266,5.126733
Scott Piercy,4.210837,8.936309
Scott Stallings,4.827803,8.596716
Scottie Scheffler,2.550614,5.821322
Seamus Power,5.780012,4.3982825
Sean O'Hair,5.720336,7.12852
Sebastian Cappelen,9.048592,6.6017094
Sebastian Munoz,4.2425785,7.196709
Sepp Straka,6.367014,7.887959
Sergio Garcia,2.977836,9.145665
Seth Reeves,8.958377,9.448513
Seung-Yul Noh,7.454758,3.2770398
Shane Lowry,3.1454864,6.5480976
Shaun Micheel,10.105545,7.008271
Shaun Norris,8.117726,8.455771
Shawn Stefani,5.688213,6.1827693
Shugo Imahira,6.951805,5.3757043
Si Woo Kim,5.0002623,5.549474
Smylie Kaufman,10.281498,5.772718
Stephan Jaeger,6.8568053,3.7674673
Steve Marino,8.752736,8.121511
Steve Stricker,4.5172486,3.7905478
Steven Bowditch,10.040275,5.147146
Stewart Cink,5.0016932,7.5051656
Stuart Appleby,7.09042,4.656049
Sung Kang,7.7358894,7.6897326
Sungjae Im,2.8208725,5.749513
Takumi Kanaya,9.631284,7.21324
Talor Gooch,4.303134,4.998473
Taylor Moore,9.026821,8.195908
Taylor Pendrith,4.542265,6.847727
Ted Potter Jr.,6.5566416,9.607851
Ted Purdy,10.317019,7.277759
Thomas Pieters,5.1503835,9.341168
Thorbjorn Olesen,8.110173,5.7348976
Tiger Woods,4.558401,7.0759916
Tim Herron,9.647016,8.099845
Tim Wilkinson,6.559292,3.8334775
Tom Hoge,4.8306646,8.079707
Tom Lewis,7.0843434,8.987949
Tom Lovelady,8.761713,8.5265045
Tommy Fleetwood,2.8220067,5.3946214
Tommy Gainey,9.209335,9.385563
Tony Finau,2.6341577,6.433089
Trevor Immelman,10.162047,7.5867457
Trey Mullinax,7.818032,9.487714
Troy Merritt,7.152535,6.384688
Tyler Duncan,5.161971,9.85106
Tyler McCumber,6.3852205,10.397617
Tyrone Van Aswegen,6.085159,4.4395585
Tyrrell Hatton,3.097545,5.4469132
Vaughn Taylor,5.0838795,6.3257623
Victor Perez,8.218581,8.596403
Vijay Singh,4.4481936,10.459819
Viktor Hovland,3.1354465,7.895627
Vincent Whaley,9.044014,7.100804
Webb Simpson,3.1131105,4.8286586
Wes Roach,6.3498116,6.9426436
Wesley Bryan,7.585112,3.2248287
Whee Kim,8.803519,4.1689644
Will Claxton,9.428973,9.142065
Will Gordon,7.907419,9.573862
Will MacKenzie,6.4422855,10.332849
Will Zalatoris,2.6451187,8.337798
William McGirt,5.7547293,5.149208
Wyndham Clark,7.843738,5.2087994
Xander Schauffele,3.0065038,5.932088
Xinjun Zhang,6.004905,7.7188363
Y.E. Yang,9.707042,5.057297
Yuta Ikeda,6.1484184,10.481611
Zac Blair,6.541754,4.505236
Zach Johnson,4.0279284,4.4323926
Zack Sucher,6.1044493,7.6315713
Zecheng Dou,7.0592327,10.50978
